tweet,class
الذكريات تموت الذكريات ت ميت,neg
للمحجبات,neu
سانتا كلوز مصري يلعن مصري,neg
السكة شمال واليمين شغال فين رايحين,neg
تريلر ليث ونورا لوحده كفيل ينقلني لعالم,pos
ش ت ق ت لس عة للق ء رو ح ت ن ك الم ت س ء ات علم ملك ر لكو ن لضي ء,pos
البرنس مواهب حلمي,pos
ضياء بن المجانين,neg
معاك نعيمن,pos
معاك اربعة نعيمن ضحك حلمي,pos
ميرسي بيكو,pos
لامؤاخذة وسيلة المواصلات المتاحة مصر السيسي كله يركب العرص السيسي والتذكرة باجر رمزي مجانا,neg
الف مبروك ولله مصر كلها فرحنالك ومستنين منك الاغنيه الاولي محمد شاهين,pos
ليث المصري السادس معتبرينك تبعنا خلاص,pos
حبه ربه حبب خخلققه ربنا بيحبكك خدت اللقب قلوب الناس مينا عطا,pos
ابقا جدع غيرك متكونش عويل,pos
الص ق اعظ فض يلة الح ة,pos
الانسان الناجح يغلق فمه يغلق الناس اذانهم ويفتح اذنيه يفتح الناس افواههم,pos
شوفو الصور الباقيه بتحمل تابعوا,neu
اسامه فقيه الله يوفقك ويرزقك تحتسب,pos
ههعع خلصت,pos
راي عبد المنعم محمود تري كام محمد حبيب لسه الاخوان يكتشف,neu
كفايه كرمه جت,neu
رصه انشروا وافضهوهم الجريمه الافظع حقائق جريمه ترحيلات ابو زعبل,neg
خفي اعظم الجراب يحاوي البلد بلدهم ربنا يهدي الضال امين,neg
نجم ارب جوت تالنت بجدارة,pos
اقوي شخصية تاثيرا يثم العبدالله كلنا يثم واحنا قدها,neu
واما بنعمة ربك فحدث الايه بتيجي معايا بنتايج عكسية,neg
بيبقي مستني الكلمة التاني فمحدش بيقولها فبتفرقهم الايام,neg
نقطة ضعف الشباب نفسهن رخوة,neu
صلي نبي تبسم دائما,pos
عدينا مرحله السياسه والقتل والدين وحتي معاناه معيشيه بتاعت الشعب مبقاش يفرق الاحسن ننسحب بهدوء وخلينا كوبنا افتراضي,neg
الجوع ملحد,neg
رساله لكل وحده وسخه شتمت باسم يوسف اتهمو بلخيانه والعماله وانه بيفهم باسم يوسف سبلكم البلد برطعو ولاد الكلاب,neg
اجدع,pos
البلد اقصها استك وتبقي لباس كبير بيضم طياز اكبر دماغات,neg
هعيش عمري ملاك,neg
الدولة بتاعتي اسمها زمالك,pos
وزير الصحه اردني وعدد النواب واصحاب العطوفه والسعادة محافظة البلقاء,neu
نقطة ضعف الشاب العيون الجميلة,pos
اه باين والله توضيح هعمل بنصيحتك حاضر شوفت بسمع الكلام ازاي,neu
بنتي فيديو الانستجرام واكتبي معانا التاج شيرين يحيي لميس الحديدي,neu
تلموا الفرعون لوموا اشعب احترف صناعه الفراعنه تاليههم,neg
اول موسم عرب جوت تالنت احا فاجر بيض معيز وخصوصا الموسم,neg
انام اصحي الاقي قلة الادب,neg
اعمل جدول امشيش قصه قصيره حزينه,neg
خليك بتربيتك واسلوبك تقولي تعامل حسب قدامي,neu
,pos
فاطمة ناعوت السيسي امرها بنشر صحيح الدين الاسلامي مصر بتتحاكم جنائيا بتهمة ازدراء الدين الاسلامي منقول فاشية عسكرية ودينية,neg
احمد حلمي عسل عسل عسل عسل عسل,pos
المطارح ملكنا نرقص مكان نحب,pos
واحدة شبهها مغطية نص وشها اصلا,neu
محمد شاهين ايوا بقا والله عسل شاهينو وانسان بجد ماتكون فنان صقر العرب,pos
دول مكسحين والله ويقولك زمالك واهلي بلا ارف والناس تتخانق وده يفرح الاهلي اتغلب والاهلي يفرح الزمالك يتغلب تكسف,neg
الجو تلج الدور,neu
شكرا البي,pos
احسن برده,neg
انهارده محمد سيراج لقي الفانز زعلان مقعدش مينا قال هنعمل حفله وهجيبهلكم قريب,neu
ياها ليا احالها عاملة حفلة وغمزها كاهم ولاد صغار احتفلت اد طلاب ستار اكادمي,neu
الحمير بيكتبو انجليزي بحروف عربي يعرفوا لغة حروف تتكتب بيها بدل الجهل,neg
اهم شخصيات عبلة كامل الضفدع كيرميت مرتضي منصور,neu
اجمل نساء الدنيا الزوجة الصالحة,pos
رابعه اتفخت النهارده مستنين بكره يحصل تالته,neg
لاتبكي شئ ذهب فكل ذاهب فالحب كالموت لايعرف مذاهب,neu
مبحبش سؤال كلمة قال مكانها اشرح هجاوب عادي رغم ترجمتها اشرح الكلمة نفسها غبية,neg
جماعة والله كبرنا الكلام السياسة,neu
عامة اهلاوي ولازملكاوي اعلامي كويس فشخ,pos
معنديش ابن وسخة يخليني افرح افرح بايسط طريقة,neg
معلش الله يقويك ويحميك,neu
ليث وابتسام واشراق دودو,pos
وساعات الشات,pos
انتي اسمك,neu
نهاية السنة ونتمني الله خير وحب وامن واستقرار وتحسن جميع الاحوال رب,pos
مهمة فا اخلي مهم بحبو,neg
لكل يتحدث خلفي مكتمل الرجولة لتحدثت وجهي فهيد,neg
جمهور الاتحاد النهارده حضرما ت الباسكت بتاع الاهلي ضربوا اللاعيبه محمود طاهر منع جمهور الاهلي حضور يد باسكت بيقبض الجمهور,neu
احلي حاجة الدنيا تحصل حاجة نفسك فجاة فتفرح استمتع وتبسط بكل التفصيل تبسطك ارابيسك تصبحوا خير,pos
الملايكه اما تشوفها وردايه تحلم تقطفها,pos
ضحك قلب حبيبتي,pos
انام اختارو,neu
فواز بليزز بلغ سلامي محمد الصبحان اقرا رسالتي ابي تويتر تبعه,neu
عمره افناه,neu
السباك يجي,neu
القلب يتخذ القرار بيناسبو,neu
بيوحشني صوتك الهامس بسرح نتهامس صوتنا يتلامس,pos
كفرة العدد استخسروه فينا يقولك كام وثلاثين,neg
ارحمنا ونقطنا بسكاتك,neg
اسمعني اتنا بضيعني للماضي بترجعني وعايز تحبسني احلامي انتا قضيت اتحكمت ليا الجيل الشايب شباب,neg
لوحدك,neu
سلام,neu
اطلع غلي,neg
كويس جي ضي نشحن كروستي الكهرباية باش منقعدش حوش مكان وين يهرب ضي اشعر احباط شديد وين يهرب ضي لفتره طويله,neg
سلام,neu
الافضل تعيش حياتك وتدعهم يعيشوا حياتهم وعلي قدر اقترابهم منك اقترب واجعل لمشاعرك وزنا تسريب الشرق لمكتب السيسي,neu
هكلملك القاضي وكم قضاه كلمهم ممدوح شاهين وكم قاتل افلت عقاب الارض تسريب الشرق لمكتب السيسي,neg
اخ كالغذاء تحتاج دائما اخ كالدواء تحتاج احيانا اخ كالداء تحتاج ابدا مصطفي محمود اهو بحب اكون رقم فشخ,neu
انيك واحدة جميلة,pos
قناه مكملين عرضت التسريب,neu
الماضي انتهاء عرفتك,pos
الكلام مستحيل كدا ترجع الزمن لورا,neu
قرت اعمل للناس كلها,neg
خلص وصلت الفكرا شكرا لانك اثبتلي مليش حظ,neg
سمينا رائعة تجنني فعلا الموهبة بجد,pos
شاء الله العملية تتم خير وتقوم بالسلامة وتبقي الاول واحسن ويباركلكو,pos
المؤلف مسئول فكره تكونها عني,neu
قهرة بيقول اغنية حسبي الله ونعم الوكيل,neg
مشدلتلك,neu
قصدك بيتجاهل شيرو,neu
سايبه الموب وفاتحه لاب فكره,neu
شايف محتاجة دكتورمسالك بولية لعلاجهم حساب تحيا مصر,neg
بقت البلد كلها حورات محدش عارف الدنيا ماشية ازاي عارفين بتنجان استغفر الله العظيم رب اللهم ارنا الحق حقا,neg
اوحشك دنيا,neg
شوفو قالت ميركل لمن يطالبون بمساواتهم بالمعلمين,neu
ابو صلاح,neu
حوار خولاتي ونسوان,neg
بداية صباحي اسالك الهي يكتمل يومنا بلا قهر تعب قلق حزن خذلان نصبح ومعك وبك اصبحنا رحيم,pos
صاحب مصالح جارح يسدي يشيل الازمة يجي الوقت المالح متحسيش لزمة العيش الملح اتباع الكل صبح خد اع,neg
العلق محمود عثمان خالد الغندور التليفون,neg
شرفت مصر قبطان يلا كام ريتويت مينا عطا محمد شاهين,pos
امين رب,pos
الاخوان قناة تركية ومعتز مطر يرموا عضمة للنوشتاء وهم يولعوا الليلة,neu
مرحبا,neu
اجد يحل محل الحال لحالتي حاليا,neg
فردية ربنا يستر علينا كلنا,neg
مظبوط,neg
العاقل يضع قارب يعبر النهر يبني حائط ليحمي نفسه فيضانه,neu
كلام مينا شرين يحي اخته وصديقته,neu
كفايه صدمات كلاب,neg
بلوك للكلب بيقول علينا عبيد البيادة عبيد المرشد تبع الخرفان,neg
بطل,pos
يزم الشواب خربو اسامي الاكلات,neg
يفضلوا يهروا ويولولوا ويمئمؤا ماشين طريقنا وهننجح باذن الله الانكلاب يترنح,neg
ناس ماشية بمبدا انتا حالك واحنا برضوا حالك,neg
كريستال الدرة الشقية الفين سلام وتحية,neu
وكم لله لطف خفي,pos
بتقطع جوايا ونسيت طعم الفرح,neg
تحلو مرارة عيش رضاك مولاي,pos
ادعولي بنات امتحاني الاتنين,neu
هنام,neu
روحت الاهلي محمد ابراهيم ابقي سلم اينو صبري طارق السعيد محمد صديق يوصل شاء الله,neu
النادي الاهلي فريق جبار الاعصار ولعها نار,pos
اه ماهي نازله عيد ميلاد مينا وسمعت ليها استضافات مصر السي سي وروتانا,neu
طلع النسيان الحل,neu
جمال الغندور هدفي مبارة الزمالك ت انبي صحيحة ضربة جزاء الزمالك صحيحة ضربة جزاء انبي صحيحة يجب طرد احمد,neu
احساس وحش اوي تحس بتخسر ك بتحبهم بالتصوير البطئ,neg
اسقط اسقط اسقط,neg
اليلو دراجونز حضروا ت الاسماعيلة النهارده,neu
عارف حالك ابوس ايد امك خليك,neg
نيك نيك,neg
يقاطعهم,neu
البوس ممتعه الصراحه وحاجه حلوة فشخ واحلي هرمون الاكستوسين يبرد الافراز ونسبته تزيد الجسم احيه احساس,pos
ندمانة بالعكس كفايا عني بعيد,neg
الاختفاء الحل نيهه,neu
حاجة تخسرني ميصدقنيش يكذب الكلام بقوله,neg
اخخ,neg
رب اعرف اغش الدعوة بيجلي قلب ادعيها,neu
احا تسريب,neg
وانتوا طيبين وسنه سعيده عليكوا رب ودايما متجمعين المحبه,pos
خبر يغطي التسريبات القبض قاتل سعاد حسني,neu
تويتر وناسه متقدمين الفيس وناسه بتلاتين اربعين ضوئية حاجة,neu
نبي نعرف شن قصه شبكه ليبيانا,neu
وعهد الله حبيكي,pos
سلامة قلبك,pos
موطني البطانيه جنب شاحن الموبيل,neu
نفسي نصوت,neu
ساكت دة,neg
مطلعين فرسة صالة المطار قدامي الجمال,pos
اعمل بدالك,neg
كلمه تقولها لشخص مزعله اخبط دماغك فالحيط,neg
خبر يغطي التسريبات ظهور اللواء عمر سليمان احد شوارع المهندسين ليلة امس,neu
بيدور بيتجاهلو ويحبه,neg
خارجين شوية موبايلات,neg
الدمعة تفر عيني يلا اوفر وهي انتوا بتضربوا قدامي,neg
الينت رقة نضافة,pos
ريتك,neg
ولد بنعازي يكفيني عارف الصح الخطاء وعارف امعمر الحقير عافس الحقراء الليثي,neg
الله يشفيه,pos
مثلك رية تريحيني اريحك,neu
غلطت,neg
ابن ادم خطائون ملحد لذوي الدقون,neu
مجتهدا بنسيان الماضي صدفة واحدة تعيدك للوراء سنين,neg
ليا ساعه نجرب نفتح معش فتح,neu
حرام,neg
يوما سيعرف العالم,neu
موطني عربي مصري عمرو عمروسي مبدع,neu
للحين هواية التفال المرتفعات,neu
اشخاص نحنوا نخسرهم انما المواقف تغربلهم,neg
ارابس غوت تالنت حلقة الزيتون,neu
خسساره طلعع,neg
العيب الناس بتطرح افكار مختلفة العيب يعتنق يمر بمسامعه بدون تنقيح فهونوا انفسكم,neg
واهو بكره نقول ذكري,neg
ادي بالي بالملي قمر السما نزلي,pos
نهار اسود اصدق والل اروح,neg
عندكي شخصية ست,neg
اه اهلاوي ش يعرفة,neu
ذكريات حياتك مينفعش تتقال لحد غلط عيب تافهة حلاوتها عمر يفهمها,neu
فين الخلاف الاخوان والاسلامجية نفس الفكر اليميني الراسمالي حضرتك واخد بالك,neu
قل متي ترسم قلبي جراح منك الصبر قويته افقدتني احتويته,neu
شهادة بداية بداية لطريق الحق والنور تميز نجاح عطاء نسال الله يحرم وجيهكم النار كماعهدناكم كنتم ومازلتم,pos
اردت تصمد للحياة تاخذها ماساة,neu
ديما نقوللكم ناس كثر الاكتئاب لعندهم يتمنوا انهم انخلقوا حيوانات صدقني,neg
ترتيب الاولويا ت,neu
اسئلة توضح معاناتي,neg
والله الحكام دول محتاجين معجزه سماويه يتعدلو,neg
نا درتها ظلمتني محمد خويا,neg
بليز بيحب دعاء بجد يصوت نسبتها قليله شدو الهمه دعاء السباعي,pos
تسريب الشرق لمكتب السيسي عجبتني جملة معتز مطر قال النهاردة مجرد بداية لسلسلة تسريبات لسه تتذاع كفيلة لوحدها انهم يسربوا لااراديا,neu
يسلموا,pos
بلدي اسيبها اتخلي جنسيتي مستحيل,pos
نونا حاقدة,neg
بالصحة والسلامة وسنه عزه ونصر الجيش المصري شاء الله,pos
نفسي ارجع اعيش زمان,neg
لتقترب الكذب,neg
صعب اوي,neg
تسريب الشرق لمكتب السيسي اسوا ورد التسريبات الحاجة وتلاتين فهي تختصر قيمة الانسان العسكر,neg
سري نويت اكتشافه,pos
بيج تيستي,neu
صار بدا نومي,neu
البوم الليله معلق معايا انهارده اوي,neu
العشم يطلع الفاضي بتبقي اكبر مقلب تاخدة,neg
نفس الكلام تويتر بيضيع وقتي جامد فنفس الوقت عارفة ابتدي اقفله امتي مثلا بدل ازهق بدري,neg
احساس قوي حياه تانية عايشينها,neu
انتا بردو ابن كلب,neg
اصابك عشقا,neu
محمد ابراهيم خاين خابن وبيكره الاهلي حصدق استحاله زمالك,pos
مسكينه بعينك الله معك وقت تنامي اقراي المعوذات ونامي,pos
غالبا استقرار البيت,neu
وقع بحبك الانثي ترانيم وتناغم موسيقي الطبيعه بعضها البعض فان استطاعتك ادم قولها لاتتردد فهي تحب تسمعها لومي,pos
مناطق معينة,neu
عنده مشكله ومحتاجه مساعده,neg
البرود فيني الايام ابرد الاربعه كانوا يعزفوا سفينة تايتنك وهي تغرق,neg
الجهل يحقق رابطة متينة الفئات المصابة ويرصها جميعا صفا واحدا ضد الاعداء وراء الجدار حالة استعداد دائمة للبدء القتال,neg
رب الكليه تولع الصبح الامتحان,neg
علاج مرض القلوب,neg
دور بدون كلام اصعب نوع انواع التمثيل,neu
رب ج وف ارض ك اموات ابعدهم الق در نا ارحمم برحم تك اغفر وسع قبورهم اسكنم فسيح جناتك ميرا شيرين ندي,pos
الوسخ ماجد سامي قال بيحتفل بالهدف وادي فجلة ناديه الدوري قام اعلان اهدافهم جابوها الزمالك اصل الزمالك بيوجعه,neg
تحس وجودك عدمه يبقي عدمه احسن,neg
سئل حكيم اقبح البخل قال الكريم تحدث باحسانه لمن احسن,neu
بضايق طريقتي لانها بتوترني بتاخد مساحة كبيرة تفكيري,neg
السبوعين فاتو كانوا اكبر فترات الضياع عشتها فحياتي غلط بجد,neg
محمد شاهين ليث المصري السادس كنزه حبيبه المصرين كنوزتنا عايزينك تنوري مصر قريب وتحية مصر لاهل الجزائر,pos
ناطرين التلج عاد بدكن ترجعوا,neu
عارف حاول تفتكر افتكرتش اشوفك هبقي اقلك,neu
ح ين يق ول حبك ينزاح الظ لام ويع وي غني الزه ر,pos
اومال بنتي نواينا صادقه حلو الهاشتجين دول عجبني كنزه حبيبه المصرين ليث المصري السادس,pos
اتفرج فيديو الطب الشرعي يكشف الستار عدد حالات الانتحار مصر شاهد الفيديو,neu
نعمة الاسلام اشي يقدر بثمن الحمد لله,pos
منة بتضحك يحلي عيني العمر الجاي,pos
بتبقي شايفنها,neu
هنسي اول بنت عملتلها ادد الفيسبوك عملتلي بلوك تعملي اكسيبت,neg
يصير يصير يقولوا الاموات يسمعوا فينا,neu
تاخد زمنها زمن غيرها,neg
اشكي اهاتي اه واه اهاتي اه وقول دنيا خدي وهاتي خدي وهاتي دة المغني المغنواتي,neg
صباح اورد احمد بحب سكس بحب الزمالك الرضاعة كس,pos
مبين حاجة وعمال بتتالم مبين دمعه كتر بكاه وشه علم,neg
العدل الميزان لكل خلق الله,neu
ضحكتها لوحدها قصيده شعر,pos
معلش جماعة نجرب كوت زيس تويت ويز سيلفي راعو فينا ربنا دول مرعاوش راعوا فينا ربنا الهه الشمس,neg
سبحان الله وبحمده عددخلقه ورضا نفسه وزنة عرشة ومداد كلماته,neu
الامتحانات الابواب,neu
ذنب ناس بتخلصه ناس تانيه,neg
بيقول البص عايزا جزئه يتثبت,neu
حرام بتبقي بنت وسخه مغريه,neg
الاغنية تهز قلبك وتنزل دمعتك وتقربك لربنا يترفعلها القبعة,pos
الفرنسي مبتفرجش باريس سانجيرمان لويز وابرا وبس,neu
اسمط شعور تقعد مضايق تفتح الكاميرا الاماميه بالغلط الواحد ناقصه هموم,neg
تسلم,pos
تحفة الصورة ايوة عيني وجعتني الابيض واسود,pos
رولا المنتج انديمول كلوديا بتعتبر مسلسل وبتتحكم احداثه وقالتها مره ادونا حياتهم تصرفنا,neu
تحبوني ادعو اعيش العمر دادو,pos
يفضل بدون اسباب دورت كشف اعرفهم لقيتني اخدت الكل غياب,neg
يسولي حسابي كيك ماسنجر بليز ناطره,neu
تصبحو خير,neu
عملتيلو,neu
اللهم اسالك موجبات رحمتك وعزائم مغفرتك,neu
نرفض ننزل لمستواهم يعرفون فرقا شاسعا التكبر الترفع الترفع شيء يشبه نصيحة اهلنا ونحن صغار اياكم واولاد الشوارع,neg
منت لحظه جت تداريني وتعدي عمر صرت اعيشه جديد,pos
باين هلبا لبنان,neu
سموا البينا علاقه صداقه حب وجنون ابو زيزو,pos
تتصل برقم نفس رقمك مقابل قروش للمكالمه وتتاكد تسجيل بيانات الخط محمد,neu
يطول بسرعة اقصيه انتي حلوة,pos
تعليق اطلاقا,neu
بحب الناس بتدعيلي اوي,pos
الالحاد موضة,neg
حاسة متاكده,neu
اوعي تنسي تدين تدان,neu
صاحبك اقرب ليك اهلك,pos
العاصمة لميس الحديدي تودع عبر,neu
كيوت بتحبي كيرمت,neu
تمسكوا خناق المصرين كنا حبايبكوا اول البرنامج اله الله الغدر,neg
عربية ترحيلات المساجين السياسين انهارده اسكندرية فوق صوت السرينة صوتهم جوا بيقولوا ثورة ثورة ثورة,neu
فيروز ليالي الشمال الحزينه,neu
احساس حلو تطلع هدومك بتاعت الشتا وتلاقي نسيه الشتا فات,pos
كويس نشوف شكرن,pos
ايها الزمان اثقل وزنك ظهورنا واكتافنا فكلما كبرنا ثقلت وكلما حملناك انحنينا كثيرا,neg
الصلاه عباد الله,neu
كوريا الشمالية تصف اوباما بالقرد حرمانها الانترنت,neu
تتعاطي نوع انواع المخدرات,neu
الامبالاه,neg
جماعه البت عنيها رهيبه,pos
انحبش محمد هنيدي,neg
عاملين نفسههم بيحبونا واحنا عاملين نفسنا مصدقين وكلنا بنستهبل,neg
رجل يستحق تبكي اجله تصدقي حزين لفراقك دائما شرقي بديل نزار قباني,neg
ضحك جو,neu
التصرف طبيعتك احسن حاجة مضطر تثبت حاجة لحد مضطر تثبت حاجة لنفسك مضطر تعمل حاجة متصالح نفسك وعجباك كدة,pos
وبحب الاجندة المتقسمة بردو ورقة وكبيرة مبستخدمهاش وبحتفظ بيها جديدة,pos
امطرت السماء حرية سيفتح العبيد الشمسية,neg
قلب المعتقل افتقده بشده الحرية لروحي,neg
خلي السيسي ينفعك,neg
سمنود يبتعد زفتي دسوق حبايب وانتفاضة فرق القاع ثامن القسم الثالث,neu
تويتر سناب فايبير مرض جديات قعد معش تقدر تقعد بلاهن,neg
ربنا ينتقم ظالم معتقلي الاتحادية,neg
صورك كلها,neu
سفارة الكويت,neu
لقاء ليها البيدج بتاعتها,neu
حول قوة بالله,neg
متقنعنيش انكوا بتحبوا النت منغير متشوفوا شغل منتدي زهره الخليخ,neg
مشكلتنا عاملين نفسنا فاهمين الدين صح عارفين اننا حاولنا نفهم حالنا ربي اصلح شان الامة,neg
ويسعدكم اجمعين امين رب,pos
الساكت الحق ابن وسخة,neg
مصري صبي حلواني خريج اداب,neu
الوقت الاهتمام اجمل اثمن شيء تهديه لشخص تحب ه,pos
ربنا يخليكي رب,pos
فكرة بيكتب بايو جميل ورود وصورته حاطتها عيون رومانسية ويطلع الاخر اخوان ابن كلب ويزعل مني بشتم فيهم طز,neg
تعدل احكامك اما تلم تسريباتك كفاية فضيحة ريحتكم بقت معفنة وفايحة خلاص,neg
فانظروا تسلكون بالتدقيق كجهلاء كحكماء,neu
قصدي سانتا بتاع,neu
ذكري وفاة صحبتك عيد ميلادة واحدة صحابك التانين,neg
بيقدرك يعرف متدايق يكلمك يعرف,neu
عقبال الباقي رب,pos
اللهم اش ر ح ور نا الق ر ءان الل ه ن ر ق ور نا الق ر ءان الل ه اج الق ر ءان ش اف عا نا,pos
محمد شاهين يغني الود لعبد وهاب ويغني هوا ومينا اغنية لمصر,neu
شاء الله ربنا يخليها جميلة,pos
اجمل الناس شوفتها حياتي والله حاجة صغننة كته بارك شين,pos
ماشية بضهرها حطت عليا,neg
امعلم,neu
عارفين جيل مكتئب عرفنا حقيقتها بدري,neg
الاداء نسي النتيجة تبقي بولس سيزار مالديني تعليقه فوز منتخب مصر منتخب ايطاليا صفر,neu
الله يسمح دروبك,neu
كسم امتحان انهارده,neg
بتعند معاك حاول تحتويها وتخليها تعمل عايزة بمزاجها,neu
طلب حسام حسن اداره الاتحاد السكندري التعاقد اللاعب لتدعيم صفوفه بالفعل تعاقد معه الاتحاد اعاره الزمالك,neu
القلم اتكسر ايدكو جنيه,neg
,neu
سماءك ممطرة طريقك مسدود,neg
اتحاد الكرة المصري النادي المصري البورسعيدي,neu
هه,neu
,neu
شئ,neu
غلطه مطبعيه الواد صاحبي ابن الكلب غغط وبعدين صلحلي,neg
كفتة رز,pos
مينا عطا هنلعب سوا بالترند اسئله مينا هنشوف اجمد ميناوي ه عارف مينا بالاكاديمي الاجابه بالتاق,neu
فين الحاجات,neu
اوسكار احسن اب,pos
اجمل احساس الكون والله,pos
اللهم اجرني مصيبتي واخلف خيرا,neg
عملت كويس حمدلله عدي,pos
الوطن متحول جنسيا ولد بنت يتراجع اجراء العملية خضوعه لجلسات العلاج النفسي ملف,neu
اللهم امسينا رحماتك فاتمم غفرانك,pos
بحس بامان يملاني بنطق حروف اسمك ساعتها بموت ترجعلي روحي حاجة نفسي حلمت بيها تخدني حبيبي حضنك ويقف الزمان سميرة,pos
تيجي للفاينل بحس فيا غلط فين هعوض,neg
ابكاني كمدا وقهرا,neg
كاعاد ت ك ت ن ح روف مات غاي ة رؤعة,pos
اسماء حمدي اخدت معاها اخدوا خمس سنين مستوعبتش بعدين قلت فعلا النظام يكمل خمس سنين ويا رب يكمل,neg
ربنا يسمع منك ن الواحد يقول تطويل المحكمه,neu
الاهلي يكسب فرق سكور كبير نيك,pos
صاحب الضربة الجوية الاولي دة قرار الرئيس انور السادات وعاطف السادات اول قتل حرب اكتور,neu
فالجامعة,pos
ماشي امر افندم,neu
انرت سمائي مسائي وباقات الامتنان رورك شرف ولك مني باقة ورد سلامي,pos
مينا عطا بقا بقا بقا,pos
مسائك اجمل,pos
وقف وسلم علينا وكنت هحذف المنشور لقتكو حذفتوني شكرا ليكو,neg
اول طالب يجتمع حب الطب كلهم ويطالبو فانزاتهتم بالتصويت محمد شاهين ليث المصري السادس كنزه حبيبه المصرين,pos
الطالب الوحيد تاريخ ستاراك غنا لهحات ولغات مختلفه وابدع محمد شاهين ليث المصري السادس كنزه حبيبه المصرين,pos
جاريدو بيجرب,neu
مكان معرص والناس عارفه مكان معرص وبرضه بنقعد نموت جلد الذات والله,neg
جيه قلبك فثانيه علقني بيك,pos
بكره البنات بتتكلم الولاد عامله نفسها عبده موته انتي مقرفه اوي فكره,neg
سالتك مصري اتقلي هقولك قدر الله ماشاء فعل,neg
الست محمد الجندي والاستاذ ابوجيكا سامع صوت نارهم بردت خلاص,neg
اصغر طالب سنا تاريخ ستاراك خد اللقب محمد شاهين ليث المصري السادس كنزه حبيبه المصرين,pos
غيابهم ليتك تذوق غيابهم,neg
حاجة بستفز التجمل,neg
مينا عطا مينو اتاخرت مان,neu
الكلام اكيد,neu
حاجة بستفز احمد يونس خد اجازة البرنامج,neg
مينا عطا منا عطا اجبرني اتابع سيزون,neu
تسريبات تخلو الفبركات حاولوا يطمسوا يدعوا يخدعوا فلن يصدقهم يهودي ويستحب الخداع,neg
الحالة النفسية الزفت تموتني تخلص افوق,neg
بنيك عيال بنير روح العب حلمة ماما احسنلك,neg
البشر تايهين كاس شاربين زفتي,neg
مهو العلم وسط الموزة لية بتحكموا صاحب محلات التوحيدوالنور ولاد الوسخة,neg
الخميس القادم ارسنال ساوثامتون تشلسي توتنهام نستر ستوك سيتي السيتي سندرند جوله مصلحه ارسنال حاله الفوز,neu
رب عاوز نعمة الصبر بسرعة,neu
لبس تشيرت الجنه يوسف,neu
صالح,neu
يسعد مساكم,pos
كفيك بثا بن ايها الشوق فاض الق لب جعا,neg
وراء فينا بيستظرف وعاملنا قارنين القرنين يكونو مباشرين مهو متجسدة موقف غلس تقاطيف حياة,neg
رب بجدي اجتهادي انما بتوفيقك اللهم وفقني فان التوفيق عندك واشرح صدري وسهل امري فان التسهيل لطفك,neu
واخد بالي مالها,neu
هنبتديها حكم,neg
عام سعيد رب,pos
اعاده النهارده,neu
حاجة بستفز الاطفال التبتة,neg
دايما معاه روحنا فداه,pos
عباره محروقه وطياره مفقوده العالم كارثي,neg
,neg
خاص مصادر خاصة لرصد الرئيس محمد مرسي سيتحدث كلمة للشعب امام المحكمة بقضية الاتحادية والمقرة الثلاثاء ديسمبر,neu
الله,pos
شايفة الدنيا اهه بتلف رجب الطيب واوباما وبعدهم اسرائيل وقطر ح تلحق نفسها,neu
احسن الشخص يفهمك زعلان ضحكت,pos
جول,pos
بيضربه بالشلوط حكم,neg
نتمني وجود الفنانة ضمن المرشحين للجائزة العام,neu
احتفال عائلة راديا نينجولان بعيد الميلاد,neu
المدرسة ك نت اظن الد رس الصعب يستعصي حفظه اما الد رس الصعب يستعصي نسيانه,neg
الفم ضحكه وف القلب حكايات,pos
احمدمحمد,neu
مينا عطا بيكتب تاق يركز تاق اللقاء بسس,neu
مينا عطا الكل قدام وكانه مباراة المنتخب نهائي امم افريقيا,neu
احببتك مرغما لانك الاجمل لانك الاعمق فعاشق الجمال العادة احمق,pos
ابتداءي المتعه الهلس كوره طوبات المنديل بيوضه الواحد مكنش بينزل بفلوس وترجع هدومك متبهدله كتر اللعب عيشة تانيه,pos
حفظ كتاب الله الق اللوم نفسك بالتقصير التاخير ترمي الاخرين زوجة ابناء الوالدين عمل والتزامات الحياة,neg
النظام,neu
اللهم اسالك قلب خاشعا وعلما نافعا ولسان زاكرا وجسدا البلاء صابرا,neu
عبدالظاهر ايل الشوط التاني,pos
ولك مصنع الدخيلة يتم سداد قيمة اسهم عز والمتورط وزراء سابقين احدهم عمل بالمصنع,neu
رنا رنا رنا عايزه خمس بوسات العين والحسد قلبي,pos
مانا اتعودت احلامي اشوفها بتجري قدامي لحقهل س,neg
دودو قمر كنتي منوره انهارده حبيبتي,pos
مخلصة ومطمنة وهصحي بكرة ابدا اللهم الحمد,pos
الجمال كساك ورق المحاسن كساك ونبت جوانحي والقلب دمه سقاك,pos
كتاب كدة كانو مشبهين الروتين الانسان بيدخل النار ويطلع يغير جلده ويدخل دايما متخيلين بؤساء اد,neg
نتمني حضرتكم لقاء الفنانة الشابة دعاء السيباعي ولكم جزيل الشكر,neu
انتا بتطلعلي منين جدع انتا,neu
انتا بتعمل,neu
شيكا اول جه اليونان راح الاهلي مستبعدش الصراحه مضي لاعيبه مضت للاهلي,neu
مشكله نظام الاندوريد منذو قليل راح يتقفل حساباته با الفيس وتويتر ومحتاج تسجيل الباسورد جديد الناس ناسيه الباسورد,neu
جزيل الشكر استاذ ردك الجميل,pos
